"Jaar","Maand","Werkloosheidsindicator (ILO) (15 tot 75 jaar, seizoengecorrigeerd) (x 1 000)","WW-uitkeringen (15 jaar tot AOW-leeftijd) (x 1 000)"
"2017","januari","588","419"
"2017","februari","582","416"
"2017","maart","571","415"
"2017","april","563","401"
"2017","mei","564","386"
"2017","juni","555","372"
"2017","juli","544","364"
"2017","augustus","534","362"
"2017","september","529","351"
"2017","oktober","511","343"
"2017","november","504","337"
"2017","december","503","330"
"2018","januari","487","335"
"2018","februari","474","330"
"2018","maart","465","327"
"2018","april","463","314"
"2018","mei","460","301"
"2018","juni","463","288"
"2018","juli","458","279"
"2018","augustus","463","278"
"2018","september","451","274"
"2018","oktober","444","269"
"2018","november","433","267"
"2018","december","437","263"
"2019","januari","437","279"
"2019","februari","419","274"
"2019","maart","416","268"
"2019","april","409","257"
"2019","mei","411","251"
"2019","juni","423","243"
"2019","juli","424","234"
"2019","augustus","432","237"
"2019","september","432","233"
"2019","oktober","432","233"
"2019","november","434","228"
"2019","december","409","223"
"2020","januari","390","241"
"2020","februari","383","240"
"2020","maart","388","250"
"2020","april","427","292"
"2020","mei","439","301"
"2020","juni","513","301"
"2020","juli","532","301"
"2020","augustus","533","292"
"2020","september","519","278"
"2020","oktober","509","278"
"2020","november","485","276"
"2020","december","476","286"
"2021","januari","448","289"
"2021","februari","450","286"
"2021","maart","439","282"
"2021","april","427","266"
"2021","mei","419","250"
"2021","juni","405","238"
"2021","juli","393","224"
"2021","augustus","406","213"
"2021","september","399","208"
"2021","oktober","382","199"
"2021","november","359","189"
"2021","december","369","192"
"2022","januari","354","193"
"2022","februari","336","188"
"2022","maart","327","184"
"2022","april","316","175"
"2022","mei","323","165"
"2022","juni","339","161"
"2022","juli","353","157"
"2022","augustus","378","152"
"2022","september","382","152"
"2022","oktober","365","150"
"2022","november","364","145"
"2022","december","352","149"
"2023","januari","360","154"
"2023","februari","356","154"
"2023","maart","357","158"
"2023","april","343","156"
"2023","mei","353","151"
"2023","juni","353","153"
"2023","juli","362","152"
"2023","augustus","364","156"
"2023","september","371","155"
"2023","oktober","361","156"
"2023","november","357","160"
"2023","december","361","161"
"2024","januari","368","167"
"2024","februari","379","174"
"2024","maart","371","175"
"2024","april","375","170"
"2024","mei","367","171"
"2024","juni","370","168"
"2024","juli","370","164"
"2024","augustus","374","171"
"2024","september","377","172"
"2024","oktober","376","179"
"2024","november","372","177"
"2024","december","373","175"
"2025","januari","386","189"